"suburb","postcode","state","lat","lng"
"Biniguy","2399","NSW","-29.58006","150.13695"
"Binjura","2630","NSW","-36.17439","149.10914"
"Binna Burra","2479","NSW","-28.71177","153.4954"
"Binnaway","2395","NSW","-31.58343","149.40215"
"Binya","2665","NSW","-34.15384","146.31382"
"Birchgrove","2041","NSW","-33.85093","151.18309"
"Birdwood","2446","NSW","-31.35692","152.32993"
"Birganbigil","2710","NSW","-35.51821","145.18278"
"Birmingham Gardens","2287","NSW","-32.89284","151.68893"
"Birriwa","2844","NSW","-32.11775","149.47685"
"Birrong","2143","NSW","-33.89192","151.02094"
"Bishops Bridge","2326","NSW","-32.74516","151.46674"
"Bithramere","2340","NSW","-31.13607","150.779"
"Black Creek","2439","NSW","-31.58149","152.64303"
"Black Creek","2729","NSW","-35.32294","148.03543"
"Black Head","2430","NSW","-32.0713","152.53536"
"Black Hill","2322","NSW","-32.81921","151.61571"
"Black Hollow","2828","NSW","-31.11667","148.86499"
"Black Mountain","2365","NSW","-30.32917","151.68914"
"Black Range","2550","NSW","-36.73385","149.84332"
"Black Springs","2787","NSW","-33.85604","149.72307"
"Blackalls Park","2283","NSW","-33.00003","151.57829"
"Blackbutt","2529","NSW","-34.57129","150.8425"
"Blackett","2770","NSW","-33.73837","150.81532"
"Blackheath","2785","NSW","-33.63908","150.28442"
"Blackmans Flat","2790","NSW","-33.32515","150.05839"
"Blackmans Point","2444","NSW","-31.39048","152.83235"
"Blacksmiths","2281","NSW","-33.07358","151.65199"
"Blacktown","2148","NSW","-33.77655","150.90338"
"Blackville","2343","NSW","-31.64168","150.24733"
"Blackwall","2256","NSW","-33.50518","151.33518"
"Blair Athol","2560","NSW","-34.06196","150.80158"
"Blairmount","2559","NSW","-34.05088","150.79444"
"Blakebrook","2480","NSW","-28.7694","153.23497"
"Blakehurst","2221","NSW","-33.99061","151.10947"
"Blakney Creek","2581","NSW","-34.63876","149.05894"
"Bland","2721","NSW","-34.02509","147.63048"
"Blandford","2338","NSW","-31.75129","150.89448"
"Blaxland","2774","NSW","-33.74507","150.61818"
"Blaxlands Creek","2460","NSW","-29.89015","152.79964"
"Blaxlands Ridge","2758","NSW","-33.47062","150.79739"
"Blayney","2799","NSW","-33.53741","149.25456"
"Bligh Park","2756","NSW","-33.63844","150.80041"
"Blighty","2713","NSW","-35.59597","145.30674"
"Blowering","2720","NSW","-35.49512","148.25508"
"Blue Bay","2261","NSW","-33.35427","151.50069"
"Blue Haven","2262","NSW","-33.21142","151.50349"
"Blue Knob","2480","NSW","-28.54865","153.19283"
"Blue Mountains National Park","2780","NSW","-33.83578","150.32886"
"Blue Nobby","2408","NSW","-29.07962","150.64735"
"Blue Vale","2380","NSW","-30.82759","150.22046"
"Blueys Beach","2428","NSW","-32.35272","152.53127"
"Boambee","2450","NSW","-30.33287","153.0587"
"Boambee East","2452","NSW","-30.34564","153.07849"
"Boambolo","2582","NSW","-34.97983","148.89481"
"Boat Harbour","2480","NSW","-28.77717","153.36804"
"Boat Harbour","2316","NSW","-32.78452","152.11199"
"Bobadah","2877","NSW","-32.28135","146.6977"
"Bobin","2429","NSW","-31.69833","152.28568"
"Bobs Creek","2443","NSW","-31.59593","152.75247"
"Bobs Farm","2319","NSW","-32.77797","152.00165"
"Bobundara","2630","NSW","-36.45714","148.98099"
"Boco","2631","NSW","-36.61465","149.16261"
"Bocoble","2850","NSW","-32.80348","149.73791"
"Bocobra","2865","NSW","-33.10446","148.53725"
"Bodalla","2545","NSW","-36.09698","149.99067"
"Bodangora","2820","NSW","-32.43226","149.03108"
"Boeill Creek","2739","NSW","-34.15675","142.11089"
"Bogan","2826","NSW","-32.03422","147.47946"
"Bogan Gate","2876","NSW","-33.09005","147.76518"
"Bogangar","2488","NSW","-28.33242","153.55778"
"Bogee","2849","NSW","-32.98267","150.09226"
"Boggabilla","2409","NSW","-28.70675","150.19435"
"Boggabri","2382","NSW","-30.70711","150.03657"
"Bogong Peaks Wilderness","2720","NSW","-35.52483","148.38268"
"Bohena Creek","2390","NSW","-30.42699","149.63703"
"Bohnock","2430","NSW","-31.94609","152.56406"
"Bolaro","2629","NSW","-35.91465","148.85277"
"Bolivia","2372","NSW","-29.27221","151.91313"
"Bolong","2540","NSW","-34.83719","150.64639"
"Bolton Point","2283","NSW","-32.99647","151.61101"
"Bolwarra","2320","NSW","-32.71079","151.57305"
"Bolwarra Heights","2320","NSW","-32.69449","151.58565"
"Bom Bom","2460","NSW","-29.75957","152.9659"
