"price","dateSold","address","suburb","state","beds","baths","parking","propertyType","landSize"
"2585000","2021-10-04","16 Cotton Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","5","3","2","House","405"
"2000000","2021-11-10","96 Skyline Terrace BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","2","House","0"
"1270000","2021-10-23","8/6 Burrabee Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","166"
"920000","2021-11-03","9 Glauca Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","699"
"3750000","2021-10-21","1/4 Fourth Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","2","Duplex","0"
"4305000","2021-10-13","13 Deodar Drive BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","4","House","539"
"1300000","2021-12-15","56 Wonga Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","4","House","640"
"925000","2021-10-31","7B/3 Second Avenue BURLEIGH HEADS","BURLEIGH HEADS","QLD","2","2","1","House","0"
"2350000","2021-11-13","21 Hayle Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","4","2","House","405"
"1635000","2021-11-13","1/1A Cedar Court BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","0"
"2600000","2021-12-12","24 Ferny Fairway BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","3","2","House","607"
"742000","2021-11-21","250/19 Burleigh Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","2","2","2","House","0"
"3350000","2021-10-26","14 Tawarri Crescent BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","5","2","House","364"
"860000","2021-10-07","24 Glauca Street BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","2","House","806"
"1700000","2021-12-13","2/1 Cedar Court BURLEIGH HEADS","BURLEIGH HEADS","QLD","3","2","2","House","0"
"1290000","2021-10-06","20 Timbertop Mead BURLEIGH HEADS","BURLEIGH HEADS","QLD","4","2","undefined","House","0"
